Date : 2021-08-19 20:20:07
Directory : /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client
Total : 115 files,  22569 codes, 2464 comments, 1635 blanks, all 26668 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         54 |     12,442 |      2,430 |        950 |     15,822 |
| JSON             |          4 |      5,725 |          0 |          4 |      5,729 |
| Log              |          1 |      2,641 |          0 |        426 |      3,067 |
| TypeScript       |         31 |        792 |         16 |        170 |        978 |
| XML              |         16 |        505 |          9 |          9 |        523 |
| HTML             |          1 |        219 |          6 |         26 |        251 |
| CSS              |          4 |        183 |          0 |         30 |        213 |
| JavaScript       |          3 |         42 |          3 |          5 |         50 |
| Markdown         |          1 |         20 |          0 |         15 |         35 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        115 |     22,569 |      2,464 |      1,635 |     26,668 |
| public                                                                                            |         16 |        505 |          9 |          9 |        523 |
| src                                                                                               |         85 |     13,247 |      2,446 |      1,122 |     16,815 |
| src/common                                                                                        |          2 |         55 |          9 |          7 |         71 |
| src/components                                                                                    |         26 |      6,293 |        657 |        498 |      7,448 |
| src/components/addTagForm                                                                         |          1 |         40 |          0 |          5 |         45 |
| src/components/card                                                                               |          1 |         41 |          0 |          5 |         46 |
| src/components/data                                                                               |          1 |        237 |          0 |          6 |        243 |
| src/components/ddm                                                                                |          2 |        226 |          1 |         30 |        257 |
| src/components/event                                                                              |          1 |         40 |          0 |          3 |         43 |
| src/components/input                                                                              |          2 |         92 |          8 |         10 |        110 |
| src/components/inputtext                                                                          |          1 |         94 |          0 |          5 |         99 |
| src/components/layout                                                                             |          6 |      3,325 |        606 |        271 |      4,202 |
| src/components/library                                                                            |          1 |        698 |         21 |         55 |        774 |
| src/components/loading                                                                            |          1 |         18 |          0 |          3 |         21 |
| src/components/optionsListProfile                                                                 |          1 |         11 |          0 |          1 |         12 |
| src/components/pagination                                                                         |          1 |         40 |          0 |          3 |         43 |
| src/components/schedule                                                                           |          3 |      1,241 |         21 |         84 |      1,346 |
| src/components/set                                                                                |          1 |         38 |          0 |          3 |         41 |
| src/components/sidebar                                                                            |          1 |         82 |          0 |          6 |         88 |
| src/components/site                                                                               |          1 |         36 |          0 |          5 |         41 |
| src/components/togle                                                                              |          1 |         34 |          0 |          3 |         37 |
| src/hook                                                                                          |          1 |         16 |          0 |          5 |         21 |
| src/lib                                                                                           |          1 |         13 |          2 |          3 |         18 |
| src/pages                                                                                         |         30 |      6,168 |      1,770 |        462 |      8,400 |
| src/pages/[username]                                                                              |          3 |        786 |         12 |         66 |        864 |
| src/pages/[username]/library                                                                      |          3 |        786 |         12 |         66 |        864 |
| src/pages/active-account                                                                          |          1 |         42 |          0 |          3 |         45 |
| src/pages/admin                                                                                   |          1 |        745 |          8 |         34 |        787 |
| src/pages/api                                                                                     |          1 |          7 |          1 |          3 |         11 |
| src/pages/auth                                                                                    |          2 |        335 |          5 |         38 |        378 |
| src/pages/folder                                                                                  |          1 |          9 |          0 |          3 |         12 |
| src/pages/folder/[id]                                                                             |          1 |          9 |          0 |          3 |         12 |
| src/pages/me                                                                                      |          3 |        654 |         14 |         63 |        731 |
| src/pages/room                                                                                    |          3 |        973 |         20 |        109 |      1,102 |
| src/pages/room/[id]                                                                               |          3 |        973 |         20 |        109 |      1,102 |
| src/pages/search                                                                                  |          1 |        363 |          0 |         15 |        378 |
| src/pages/search/[type]                                                                           |          1 |        363 |          0 |         15 |        378 |
| src/pages/search/[type]/[searchBy]                                                                |          1 |        363 |          0 |         15 |        378 |
| src/pages/set                                                                                     |          4 |        967 |      1,698 |         45 |      2,710 |
| src/pages/set/[id]                                                                                |          3 |        958 |      1,698 |         42 |      2,698 |
| src/redux                                                                                         |         22 |        303 |          1 |         74 |        378 |
| src/redux/actions                                                                                 |          6 |        151 |          1 |         31 |        183 |
| src/redux/reducers                                                                                |          8 |         94 |          0 |         21 |        115 |
| src/redux/types                                                                                   |          7 |         49 |          0 |         18 |         67 |
| src/utils                                                                                         |          3 |        399 |          7 |         73 |        479 |
| styles                                                                                            |          4 |        183 |          0 |         30 |        213 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                          | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/README.md                                      | Markdown         |         20 |          0 |         15 |         35 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/a.json                                         | JSON             |          0 |          0 |          1 |          1 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/next-env.d.ts                                  | TypeScript       |          0 |          2 |          1 |          3 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/package-lock.json                              | JSON             |      5,654 |          0 |          1 |      5,655 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/package.json                                   | JSON             |         52 |          0 |          1 |         53 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/postcss.config.js                              | JavaScript       |          6 |          0 |          1 |          7 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/blackboard.svg                          | XML              |          1 |          0 |          0 |          1 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/draft.svg                               | XML              |         59 |          1 |          1 |         61 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/grinning.svg                            | XML              |         48 |          1 |          1 |         50 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/happy.svg                               | XML              |         49 |          1 |          1 |         51 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/home.svg                                | XML              |          1 |          0 |          0 |          1 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/library.svg                             | XML              |         65 |          1 |          1 |         67 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/neutral.svg                             | XML              |         41 |          1 |          1 |         43 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/notebook.svg                            | XML              |          1 |          0 |          0 |          1 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/sad.svg                                 | XML              |         42 |          1 |          1 |         44 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/schedule.svg                            | XML              |          1 |          0 |          0 |          1 |
